Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

DGND       TP_SMD_1_5mm          2480mil       2329mil       2480mil       2329mil       2480mil       2329mil  B        180.00 Comment        
U3         SOT23-5           2870.003mil    2870.75mil   2870.003mil    2870.75mil   2832.602mil   2817.601mil  T        360.00 STWD100NYWY3F  
U4         W5500-LQFP-48_7X7X05P        855mil       2855mil        855mil       2855mil    695.551mil   2963.268mil  T        270.00 W5500          
U6         TO-263-5          3022.913mil   2064.409mil       3230mil       2450mil   2889.055mil   1881.573mil  T        180.00 LM2575-3V3     
U7         TPS23753A             1390mil        905mil       1390mil        905mil   1506.142mil    828.228mil  T        180.00 TPS23753APW    
U8         SSOP4             2072.047mil       1140mil       2200mil       1115mil       2200mil       1115mil  T        180.00 TCMT1107       
U9         SOT-23             2237.26mil   1624.598mil       2191mil       1662mil       2191mil       1662mil  T        270.00 TL431ACDBVR    
Y1         8M_SMD_CRYSTAL        1843mil       2795mil       1843mil       2795mil       1843mil   2972.165mil  T        270.00 CRYSTAL_8MHz   
Y2         25MHZ-SMD-3225_4P       1370mil       2893mil       1370mil       2893mil   1326.693mil   2861.504mil  T        360.00 25Mhz          
R5         R0603                 2261mil        673mil       2261mil        673mil   2230.685mil        673mil  T        360.00 0R             
R81        1206              2153.677mil        972mil       2221mil        972mil       2221mil        972mil  T        180.00 0R/0.5W        

